symbol,label,F1,F2,F3,F4,F5,B1,B2,B3,B4,B5,fric_F,fric_B,nasal_F,nasal_B,av,af,an,duration_ms,flags,notes
I,/i/,270,2290,3010,3300,3750,60,90,150,200,200,4000,300,250,300,1.0,0.0,0.0,120,SUSTAINABLE,"Peterson & Barney 1952 adult-male mean, /i/ heed (#28 original)"
E,/e/,530,1840,2480,3300,3750,70,100,150,200,200,4000,300,250,300,1.0,0.0,0.0,120,SUSTAINABLE,"Peterson & Barney 1952, EH head (#28 original)"
A,/a/,730,1090,2440,3300,3750,90,110,170,200,200,4000,300,250,300,1.0,0.0,0.0,120,SUSTAINABLE,"Peterson & Barney 1952, AA hod (#28 original)"
O,/o/,570,840,2410,3300,3750,80,100,170,200,200,4000,300,250,300,1.0,0.0,0.0,120,SUSTAINABLE,"Peterson & Barney 1952, AO hawed (#28 original)"
U,/u/,300,870,2240,3300,3750,60,80,150,200,200,4000,300,250,300,1.0,0.0,0.0,120,SUSTAINABLE,"Peterson & Barney 1952, /u/ who'd (#28 original)"
IH,/ih/,390,1990,2550,3300,3750,65,95,150,200,200,4000,300,250,300,1.0,0.0,0.0,110,SUSTAINABLE,"Peterson & Barney 1952, hid"
AE,/ae/,660,1720,2410,3300,3750,85,105,160,200,200,4000,300,250,300,1.0,0.0,0.0,120,SUSTAINABLE,"Peterson & Barney 1952, had"
AH,/ah/,640,1190,2390,3300,3750,85,105,165,200,200,4000,300,250,300,1.0,0.0,0.0,110,SUSTAINABLE,"Peterson & Barney 1952, hud"
UH,/uh/,440,1020,2240,3300,3750,65,85,150,200,200,4000,300,250,300,1.0,0.0,0.0,100,SUSTAINABLE,"Peterson & Barney 1952, hood"
ER,/er/,490,1350,1690,3300,3750,75,100,120,200,200,4000,300,250,300,1.0,0.0,0.0,130,SUSTAINABLE,"Peterson & Barney 1952, heard -- low F3 is the rhotic cue"
AX,/ax/,500,1500,2500,3300,3750,90,110,170,200,200,4000,300,250,300,1.0,0.0,0.0,80,SUSTAINABLE,"neutral reduced schwa -- also reused as the closure/SIL cascade shape below"
EY,/ey/,400,2100,2700,3300,3750,70,95,150,200,200,4000,300,250,300,1.0,0.0,0.0,140,SUSTAINABLE,"diphthong -- single static midpoint target; true glide is P3 sequencer work"
AW,/aw/,680,1100,2300,3300,3750,85,105,165,200,200,4000,300,250,300,1.0,0.0,0.0,150,SUSTAINABLE,"diphthong -- static midpoint target"
AY,/ay/,550,1700,2600,3300,3750,80,100,155,200,200,4000,300,250,300,1.0,0.0,0.0,150,SUSTAINABLE,"diphthong -- static midpoint target"
OY,/oy/,450,1400,2600,3300,3750,75,100,155,200,200,4000,300,250,300,1.0,0.0,0.0,150,SUSTAINABLE,"diphthong -- static midpoint target"
