symbol,F1,F2,F3,source
I,270,2290,3010,"Peterson & Barney 1952 adult-male mean, /i/ heed"
E,530,1840,2480,"Peterson & Barney 1952 adult-male mean, EH head"
A,730,1090,2440,"Peterson & Barney 1952 adult-male mean, AA hod"
O,570,840,2410,"Peterson & Barney 1952 adult-male mean, AO hawed"
U,300,870,2240,"Peterson & Barney 1952 adult-male mean, /u/ who'd"
IH,390,1990,2550,"Peterson & Barney 1952 adult-male mean, hid"
AE,660,1720,2410,"Peterson & Barney 1952 adult-male mean, had"
AH,640,1190,2390,"Peterson & Barney 1952 adult-male mean, hud"
UH,440,1020,2240,"Peterson & Barney 1952 adult-male mean, hood"
ER,490,1350,1690,"Peterson & Barney 1952 adult-male mean, heard"
